Comapny Name,Total ESG Risk Score,Environmental Risk Score,Social Risk Score,Governance Risk Score,Controversy Level
"Agilent Technologies, Inc. (A)",13.6,1.1,6.4,6.1,2
Alcoa Corporation (AA),24.0,13.8,5.9,4.3,3
American Airlines Group Inc. (AAL),26.4,9.9,11.6,4.8,2
"Advance Auto Parts, Inc. (AAP)",11.5,0.1,8.3,3.1,2
Apple Inc. (AAPL),17.2,0.5,7.4,9.4,3
AbbVie Inc. (ABBV),29.9,2.4,17.2,10.4,3
Abbott Laboratories (ABT),24.8,2.3,14.2,8.3,3
Arch Capital Group Ltd. (ACGL),22.5,1.5,10.1,10.9,2
AECOM (ACM),29.4,11.1,12.2,6.2,2
Accenture plc (ACN),9.8,0.8,4.6,4.4,2
Adobe Inc. (ADBE),13.1,1.9,6.0,5.2,2
"Analog Devices, Inc. (ADI)",22.9,9.3,6.7,7.0,1
Archer-Daniels-Midland Company (ADM),31.8,16.6,10.1,5.0,3
"Automatic Data Processing, Inc. (ADP)",13.8,2.8,5.5,5.5,1
"Autodesk, Inc. (ADSK)",16.8,3.7,8.2,4.9,N/A
Ameren Corporation (AEE),27.2,12.9,9.1,5.3,2
Agnico Eagle Mines Limited (AEM),21.4,8.8,7.4,5.2,2
"American Electric Power Company, Inc. (AEP)",26.1,12.7,8.1,5.4,2
AerCap Holdings N.V. (AER),20.0,5.3,8.2,6.6,N/A
The AES Corporation (AES),26.7,13.3,8.2,5.3,2
"American Financial Group, Inc. (AFG)",27.9,2.5,12.3,13.1,1
Aflac Incorporated (AFL),18.3,0.3,9.1,8.9,1
AGNC Investment Corp. (AGNC),16.1,7.0,3.3,5.8,N/A
"American International Group, Inc. (AIG)",24.2,1.6,9.7,12.9,2
Apartment Investment and Management Company (AIV),19.7,,,,N/A
"Assurant, Inc. (AIZ)",24.1,1.6,10.8,11.7,2
Arthur J. Gallagher & Co. (AJG),21.2,0.1,10.9,10.1,2
"Akamai Technologies, Inc. (AKAM)",17.0,3.0,7.1,6.9,1
Albemarle Corporation (ALB),26.6,15.4,4.8,6.3,2
Alkermes plc (ALKS),24.5,1.4,15.6,7.5,1
The Allstate Corporation (ALL),22.0,1.0,10.1,10.9,2
Allegion plc (ALLE),21.8,10.9,5.8,5.0,N/A
Ally Financial Inc. (ALLY),23.0,0.1,11.8,11.0,2
"Autoliv, Inc. (ALV)",17.2,4.9,5.1,7.1,3
"Applied Materials, Inc. (AMAT)",12.7,4.5,3.0,5.3,1
"AMETEK, Inc. (AME)",23.9,8.6,8.5,6.7,1
"Affiliated Managers Group, Inc. (AMG)",21.5,2.1,7.9,11.5,1
Amgen Inc. (AMGN),22.0,0.7,13.5,7.8,3
"Ameriprise Financial, Inc. (AMP)",20.3,2.1,7.8,10.3,2
American Tower Corporation (AMT),10.9,2.9,2.8,5.2,1
"Amazon.com, Inc. (AMZN)",30.6,6.0,15.4,9.2,3
"Arista Networks, Inc. (ANET)",16.7,0.4,8.9,7.4,1
"ANSYS, Inc. (ANSS)",15.9,3.5,7.3,5.1,N/A
A. O. Smith Corporation (AOS),25.4,7.2,11.9,6.4,1
APA Corporation (APA),38.8,22.0,8.9,8.0,2
"Air Products and Chemicals, Inc. (APD)",12.3,7.4,1.5,3.3,1
Amphenol Corporation (APH),19.6,7.3,4.6,7.6,2
Aptiv PLC (APTV),10.7,1.5,3.9,5.3,1
Antero Resources Corporation (AR),36.4,,,,1
"Alexandria Real Estate Equities, Inc. (ARE)",13.9,3.9,3.7,6.3,N/A
Aramark (ARMK),23.9,8.1,10.9,4.8,2
"Arrow Electronics, Inc. (ARW)",9.4,2.5,3.0,4.0,N/A
Ashland Inc. (ASH),32.4,19.0,7.2,6.2,2
Atmos Energy Corporation (ATO),34.6,14.8,13.4,6.4,2
"AvalonBay Communities, Inc. (AVB)",9.8,3.0,2.0,4.8,1
Broadcom Inc. (AVGO),20.0,7.3,6.0,6.6,3
"Avnet, Inc. (AVT)",8.2,2.1,2.7,3.4,2
Avery Dennison Corporation (AVY),16.1,11.4,0.9,3.7,1
"American Water Works Company, Inc. (AWK)",21.6,9.0,7.6,5.0,1
American Express Company (AXP),18.6,0.1,8.9,9.7,2
AXIS Capital Holdings Limited (AXS),24.0,1.7,10.5,11.8,2
Axalta Coating Systems Ltd. (AXTA),27.1,14.9,7.4,4.8,N/A
"Acuity Brands, Inc. (AYI)",19.5,5.2,9.2,5.0,2
"AutoZone, Inc. (AZO)",11.0,0.1,7.1,3.8,2
The Boeing Company (BA),39.6,8.8,22.5,8.3,4
Bank of America Corporation (BAC),28.3,1.7,15.1,11.5,3
Booz Allen Hamilton Holding Corporation (BAH),17.0,1.3,9.1,6.6,2
Ball Corporation (BALL),12.1,7.6,0.8,3.7,2
Brookfield Asset Management Ltd. (BAM),18.0,0.4,8.6,9.0,1
Credicorp Ltd. (BAP),22.1,2.0,10.1,10.0,2
Baxter International Inc. (BAX),23.6,2.8,13.6,7.1,3
"Bath & Body Works, Inc. (BBWI)",28.3,12.2,10.3,5.9,2
"Best Buy Co., Inc. (BBY)",15.9,2.4,9.1,4.4,2
BCE Inc. (BCE),18.8,3.4,10.2,5.2,2
"Becton, Dickinson and Company (BDX)",23.8,3.0,13.6,7.1,3
"Franklin Resources, Inc. (BEN)",18.3,1.1,9.9,7.3,2
Brookfield Renewable Partners L.P. (BEP),17.8,2.5,9.5,5.8,1
"Bread Financial Holdings, Inc. (BFH)",18.0,,,,1
Bunge Global SA (BG),32.9,14.4,13.3,5.3,3
Bausch Health Companies Inc. (BHC),31.4,5.3,17.9,8.1,3
"Baidu, Inc. (BIDU)",24.2,2.5,12.6,9.1,3
Biogen Inc. (BIIB),22.2,0.4,14.5,7.4,3
"Bio-Rad Laboratories, Inc. (BIO)",17.4,1.2,9.2,7.0,1
The Bank of New York Mellon Corporation (BK),20.9,1.1,9.9,9.9,2
Booking Holdings Inc. (BKNG),19.2,1.0,10.1,8.1,3
"BlackRock, Inc. (BLK)",18.3,0.9,7.4,10.0,2
Bank of Montreal (BMO),15.3,1.9,5.7,7.6,2
BioMarin Pharmaceutical Inc. (BMRN),25.7,1.2,17.2,7.3,1
Bristol-Myers Squibb Company (BMY),22.7,1.3,14.4,7.1,2
Brookfield Corporation (BN),19.8,0.8,8.9,10.1,1
The Bank of Nova Scotia (BNS),20.1,1.6,9.7,8.9,3
BOK Financial Corporation (BOKF),21.2,2.3,7.6,11.3,1
"Broadridge Financial Solutions, Inc. (BR)",16.6,4.2,7.5,4.9,2
"Brown & Brown, Inc. (BRO)",20.5,0.1,9.8,10.6,1
Brixmor Property Group Inc. (BRX),11.3,3.8,2.9,4.6,N/A
Boston Scientific Corporation (BSX),23.1,2.4,11.9,8.9,2
BorgWarner Inc. (BWA),12.6,2.7,4.2,5.7,2
